,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team
5,2023-09-20,21:00,Champions Lg,Group stage,Wed,Home,W,4,3,eng Manchester Utd,2.2,1.7,59.0,75000.0,Joshua Kimmich,4-2-3-1,4-2-3-1,Glenn Nyberg,Match Report,,2024,Bayern Munich
9,2023-10-03,21:00,Champions Lg,Group stage,Tue,Away,W,2,1,dk FC Copenhagen,0.9,0.9,57.0,35690.0,Joshua Kimmich,4-2-3-1,4-3-3,Orel Grinfeeld,Match Report,,2024,Bayern Munich
12,2023-10-24,19:45,Champions Lg,Group stage,Tue,Away,W,3,1,tr Galatasaray,1.9,2.7,48.0,51776.0,Joshua Kimmich,4-2-3-1,4-2-3-1,Davide Massa,Match Report,,2024,Bayern Munich
16,2023-11-08,21:00,Champions Lg,Group stage,Wed,Home,W,2,1,tr Galatasaray,2.5,0.7,61.0,75000.0,Manuel Neuer,4-2-3-1,4-2-3-1,António Nobre,Match Report,,2024,Bayern Munich
19,2023-11-29,21:00,Champions Lg,Group stage,Wed,Home,D,0,0,dk FC Copenhagen,0.7,0.7,62.0,75000.0,Manuel Neuer,4-2-3-1,4-3-2-1,Stéphanie Frappart,Match Report,,2024,Bayern Munich
21,2023-12-12,20:00,Champions Lg,Group stage,Tue,Away,W,1,0,eng Manchester Utd,1.2,0.3,59.0,73073.0,Manuel Neuer,4-2-3-1,4-2-3-1,Espen Eskås,Match Report,,2024,Bayern Munich
30,2024-02-14,21:00,Champions Lg,Round of 16,Wed,Away,L,0,1,it Lazio,1.1,1.6,61.0,57470.0,Manuel Neuer,4-2-3-1,4-3-3,François Letexier,Match Report,Leg 1 of 2,2024,Bayern Munich
34,2024-03-05,21:00,Champions Lg,Round of 16,Tue,Home,W,3,0,it Lazio,3.5,0.4,60.0,75000.0,Manuel Neuer,4-2-3-1,4-3-3,Slavko Vinčič,Match Report,Leg 2 of 2; Bayern Munich won,2024,Bayern Munich
39,2024-04-09,20:00,Champions Lg,Quarter-finals,Tue,Away,D,2,2,eng Arsenal,1.9,1.0,41.0,60221.0,Manuel Neuer,4-2-3-1,4-3-3,Glenn Nyberg,Match Report,Leg 1 of 2,2024,Bayern Munich
41,2024-04-17,21:00,Champions Lg,Quarter-finals,Wed,Home,W,1,0,eng Arsenal,1.3,0.4,51.0,75000.0,Manuel Neuer,4-2-3-1,4-3-3,Danny Makkelie,Match Report,Leg 2 of 2; Bayern Munich won,2024,Bayern Munich
44,2024-04-30,21:00,Champions Lg,Semi-finals,Tue,Home,D,2,2,es Real Madrid,1.6,1.9,51.0,75000.0,Manuel Neuer,4-2-3-1,4-4-2,Clément Turpin,Match Report,Leg 1 of 2,2024,Bayern Munich
46,2024-05-08,21:00,Champions Lg,Semi-finals,Wed,Away,L,1,2,es Real Madrid,0.4,2.8,43.0,76579.0,Manuel Neuer,4-2-3-1,4-4-2,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won,2024,Bayern Munich
1,2023-07-25,19:15,Champions Lg,Second qualifying round,Tue,Away,W,2,0,is Breiðablik,,,,1485.0,Rasmus Falk,4-3-3,4-3-3,Gergő Bogár,Match Report,Leg 1 of 2,2024,FC Copenhagen
3,2023-08-02,20:00,Champions Lg,Second qualifying round,Wed,Home,W,6,3,is Breiðablik,,,,20886.0,Rasmus Falk,4-3-3,4-3-3,Fabio Maresca,Match Report,Leg 2 of 2; FC Copenhagen won,2024,FC Copenhagen
5,2023-08-08,20:00,Champions Lg,Third qualifying round,Tue,Home,D,0,0,cz Sparta Prague,,,,27170.0,Rasmus Falk,4-3-3,3-4-3,Benoît Bastien,Match Report,Leg 1 of 2,2024,FC Copenhagen
7,2023-08-15,19:00,Champions Lg,Third qualifying round,Tue,Away,D,3 (4),3 (2),cz Sparta Prague,,,,18109.0,Rasmus Falk,4-3-3,3-4-3,Serdar Gözübüyük,Match Report,Leg 2 of 2; FC Copenhagen won; FC Copenhagen won on penalty kicks following extra time,2024,FC Copenhagen
9,2023-08-22,21:00,Champions Lg,Play-off round,Tue,Away,W,1,0,pl RKS Raków,,,48.0,11600.0,Viktor Claesson,4-3-3,3-4-3,Irfan Peljto,Match Report,Leg 1 of 2,2024,FC Copenhagen
11,2023-08-30,21:00,Champions Lg,Play-off round,Wed,Home,D,1,1,pl RKS Raków,,,47.0,34737.0,Viktor Claesson,4-3-3,3-4-3,István Kovács,Match Report,Leg 2 of 2; FC Copenhagen won,2024,FC Copenhagen
14,2023-09-20,19:45,Champions Lg,Group stage,Wed,Away,D,2,2,tr Galatasaray,0.6,1.1,37.0,46911.0,Rasmus Falk,4-3-3,4-2-3-1,Georgi Kabakov,Match Report,,2024,FC Copenhagen
17,2023-10-03,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,de Bayern Munich,0.9,0.9,43.0,35690.0,Viktor Claesson,4-3-3,4-2-3-1,Orel Grinfeeld,Match Report,,2024,FC Copenhagen
20,2023-10-24,20:00,Champions Lg,Group stage,Tue,Away,L,0,1,eng Manchester Utd,1.9,1.7,50.0,73249.0,Viktor Claesson,4-3-3,4-2-3-1,Marco Guida,Match Report,,2024,FC Copenhagen
23,2023-11-08,21:00,Champions Lg,Group stage,Wed,Home,W,4,3,eng Manchester Utd,2.2,3.0,52.0,36099.0,Viktor Claesson,4-3-3,4-2-3-1,Donatas Rumšas,Match Report,,2024,FC Copenhagen
26,2023-11-29,21:00,Champions Lg,Group stage,Wed,Away,D,0,0,de Bayern Munich,0.7,0.7,38.0,75000.0,Viktor Claesson,4-3-2-1,4-2-3-1,Stéphanie Frappart,Match Report,,2024,FC Copenhagen
28,2023-12-12,21:00,Champions Lg,Group stage,Tue,Home,W,1,0,tr Galatasaray,1.3,1.4,37.0,34726.0,Viktor Claesson,4-3-3,4-2-3-1,Daniele Orsato,Match Report,,2024,FC Copenhagen
29,2024-02-13,21:00,Champions Lg,Round of 16,Tue,Home,L,1,3,eng Manchester City,0.3,3.3,21.0,35853.0,Viktor Claesson,4-3-3,4-2-3-1,José Sánchez,Match Report,Leg 1 of 2,2024,FC Copenhagen
33,2024-03-06,20:00,Champions Lg,Round of 16,Wed,Away,L,1,3,eng Manchester City,1.2,0.8,32.0,51531.0,Kamil Grabara,3-4-3,4-2-3-1,Espen Eskås,Match Report,Leg 2 of 2; Manchester City won,2024,FC Copenhagen
0,2023-07-25,19:00,Champions Lg,Second qualifying round,Tue,Away,D,2,2,lt Žalgiris,,,,4864.0,Fernando Muslera,4-2-3-1,4-4-2,Luís Godinho,Match Report,Leg 1 of 2,2024,Galatasaray
1,2023-08-02,21:30,Champions Lg,Second qualifying round,Wed,Home,W,1,0,lt Žalgiris,,,,41505.0,Fernando Muslera,4-2-3-1,4-4-2,Willy Delajod,Match Report,Leg 2 of 2; Galatasaray won,2024,Galatasaray
2,2023-08-08,21:00,Champions Lg,Third qualifying round,Tue,Away,W,3,0,si Olimpija,,,,13712.0,Fernando Muslera,4-2-3-1,5-4-1,Andreas Ekberg,Match Report,Leg 1 of 2,2024,Galatasaray
4,2023-08-15,21:00,Champions Lg,Third qualifying round,Tue,Home,W,1,0,si Olimpija,,,,38383.0,Fernando Muslera,4-2-3-1,5-4-1,Marco Guida,Match Report,Leg 2 of 2; Galatasaray won,2024,Galatasaray
6,2023-08-23,21:00,Champions Lg,Play-off round,Wed,Away,W,3,2,no Molde,,,51.0,9553.0,Fernando Muslera,4-4-1-1,3-5-2,Anthony Taylor,Match Report,Leg 1 of 2,2024,Galatasaray
7,2023-08-29,22:00,Champions Lg,Play-off round,Tue,Home,W,2,1,no Molde,,,60.0,47845.0,Fernando Muslera,4-2-3-1,3-5-2,Szymon Marciniak,Match Report,Leg 2 of 2; Galatasaray won,2024,Galatasaray
